Date,Calls,Query,Bookings Margin,Bookings Count,Issued Margin,Issued Count,Pending Margin,Pending Count,Same Month Margin,Same Month Count
9/5/2024,118,124,12136.06,156,5517.39,111,505.48,8,5225.52,107
9/4/2024,297,126,10117.99,157,6007.84,122,612.54,8,5811.44,117
9/3/2024,0,139,11462.89,152,7055.02,111,625.69,8,6031.09,101
9/2/2024,118,172,13676.14,170,7320.35,120,756.34,11,5755.35,100
9/1/2024,0,0,1843.02,16,1316.4,11,47.58,1,1251.33,9
8/31/2024,125,101,7613.71,86,36542.22,332,352.08,2,2597.63,93
8/30/2024,120,104,18422.21,174,37754.82,165,1482.34,11,16892.09,127
8/29/2024,139,118,15225.05,134,23698.96,196,468.61,7,10493.54,103
8/28/2024,162,145,9224.72,127,6302.21,109,1141.53,10,5041.1,95
8/27/2024,168,198,8754.52,123,10841.08,135,231.06,6,8243.71,123
8/26/2024,0,0,2131.83,26,0,0,80,2,0,0
8/25/2024,0,0,1103.56,12,0,0,N/A,0,0,0
8/24/2024,116,124,6116.05,85,3539.83,57,480.52,4,3509.73,55
8/23/2024,94,93,11206.74,139,5565.41,107,517.14,10,4621.35,100
8/22/2024,105,124,9746.71,124,15754.39,160,278.42,7,5361.05,74
8/21/2024,119,127,7154.49,98,5879.63,81,484.28,4,4849.14,78
8/20/2024,127,124,9401.83,118,7387.66,97,560.56,8,6666.66,88
8/19/2024,86,168,13368.92,129,10161.55,95,1223.1,10,8679.47,88
8/18/2024,0,0,648.71,13,514.17,11,N/A,0,514.17,11
8/17/2024,109,109,6000.68,77,13544.11,141,346.06,4,3254.04,54
8/16/2024,128,121,9278.6,112,22361.5,172,632.21,6,3921.81,77
8/15/2024,83,122,10392.94,120,6741.17,90,836.14,8,4595.78,83
8/14/2024,108,134,10663.17,128,7025.05,88,498.11,8,5570.73,84
8/13/2024,134,137,8557.75,102,3444.06,66,1076.83,8,3325.35,65
8/12/2024,86,155,9168.85,127,5821.27,96,479.62,9,5422.24,89
8/11/2024,0,0,437.04,9,462.04,8,-25,1,462.04,8
8/10/2024,111,101,6592.91,70,3003.38,50,155,5,2821.04,45
8/9/2024,111,135,6700.7,108,6127.18,88,697.15,7,3004.52,84
8/8/2024,100,128,7966.74,116,5922.8,86,467.53,9,5788.96,82
8/7/2024,117,127,8093.77,116,7015.55,89,827.37,12,5449.74,84
8/6/2024,113,111,10712.33,142,8424.58,107,250.09,9,7934.95,102
8/5/2024,109,141,9092.9,134,7317.69,98,242.13,6,6999.66,89
8/4/2024,0,0,1014.43,18,370.32,9,25,1,370.32,9
8/3/2024,102,112,6471.71,77,4895.43,65,75.32,3,4160.14,58
8/2/2024,137,113,14583.42,152,7564.84,112,1692.76,14,6590.15,96
8/1/2024,141,124,10935.37,136,7990.31,94,176.52,4,3462.46,66
7/31/2024,132,127,13364.4,132,118625.06,588,80.72,4,19273.89,144
7/30/2024,168,130,10275.18,130,29194.92,179,365.71,9,6749.76,88
7/29/2024,117,180,12627.46,127,11159.35,106,1049.3,9,5823.84,86
7/28/2024,0,0,361.95,10,96.15,8,86.48,1,96.15,8
7/27/2024,124,114,7039.48,82,4132.9,57,377.72,4,3016.54,52
7/26/2024,80,122,9255.44,119,7564.41,78,760.32,7,5019.11,74
7/25/2024,138,119,10212.16,113,6760.39,85,200.63,5,4349.43,80
7/24/2024,117,134,8144.01,126,36937.74,227,324.6,5,4565.07,85
7/23/2024,154,140,9376.29,122,9422.81,96,1191.03,4,4928.44,81
7/22/2024,101,166,10943.49,112,10655.97,98,745.36,8,6113.21,76
7/21/2024,0,0,81.41,9,83.57,6,N/A,0,83.57,6
7/20/2024,114,116,6457.87,68,5341.4,64,5,2,5105.5,61
7/19/2024,115,128,12392.41,132,6353.11,85,2034.29,11,4929.08,76
7/18/2024,127,120,8261.79,114,5886.64,87,395.78,5,4764.86,80
7/17/2024,120,128,9617.25,114,15196.41,148,257.69,5,4508.03,79
7/16/2024,136,132,8733.76,111,19121.76,156,513.92,9,4539.52,75
7/15/2024,94,195,9994.6,121,5041.23,87,832.3,11,4566.49,84
7/14/2024,0,0,325.29,9,50.45,5,N/A,0,50.45,5
7/13/2024,107,123,5959.91,73,2611.03,48,19.41,3,2611.03,48
7/12/2024,129,139,11384.99,125,15018.83,128,1312.29,7,6670.14,100
7/11/2024,145,129,9604.62,126,7207.62,91,607.59,7,6355.66,87
7/10/2024,137,136,8428.86,141,9535.15,120,562.62,9,6087.49,111
7/9/2024,135,137,9206.12,131,10785.37,108,276.1,7,7650.19,100
7/8/2024,121,170,15772.15,138,7061.73,96,84.74,5,5641.17,89
7/7/2024,0,0,612.87,15,483.02,9,N/A,0,483.02,9
7/6/2024,111,116,8292.42,78,5154.72,64,871.76,3,5105.22,62
7/5/2024,134,134,11299.63,141,4821.87,105,609.95,10,4464.05,100
7/4/2024,134,135,12040.21,152,10084.55,116,838.81,15,8606.25,109
7/3/2024,134,136,11199.67,137,9427.74,102,439.95,16,8284.53,93
7/2/2024,283,136,18492.76,141,4981.55,100,510.83,8,2347.32,86
7/1/2024,0,168,11787.57,164,11245.77,114,201.44,5,6465.2,89
6/30/2024,0,0,349.76,14,54875.32,241,23.21,1,2675.86,33
6/29/2024,159,115,9082.03,96,3687.18,61,579.46,6,3208.06,57
6/28/2024,114,137,13021.6,148,10627.77,130,829.27,6,7243.02,114
6/27/2024,130,129,11380.13,127,12555.53,105,22.72,3,5771.05,79
6/26/2024,104,129,10398.74,124,32447.7,293,114.62,1,6083.75,95
6/25/2024,119,132,10637.42,131,5850.09,93,-1303.54,6,4951.13,87
6/24/2024,87,168,10334.23,132,13348.51,131,359.14,6,5703.12,93
6/23/2024,0,73,1088,8,391.49,5,73.5,1,391.49,5
6/22/2024,91,116,6127.88,80,4746.28,67,135.96,5,4615.45,66
6/21/2024,116,133,10318.02,130,12095.85,95,238.42,7,6130.36,90
6/20/2024,113,145,10236,123,18753.79,127,183.83,5,6623.39,81
6/19/2024,121,123,9282.36,106,19278.14,120,176.01,6,4716.9,67
6/18/2024,147,136,7356.81,98,5065.1,79,328.36,6,4927.65,78
6/17/2024,102,124,5383.89,89,3137.34,64,26.5,2,3137.34,63
6/16/2024,0,82,539.51,9,402.87,10,N/A,0,402.87,10
6/15/2024,104,118,6437.53,76,6798.61,71,84.2,3,3960.28,59
6/14/2024,103,125,11386.79,126,8880.31,112,319.57,5,5762.98,91
6/13/2024,105,139,10249.91,124,11255.79,112,-97.5,4,5629,89
6/12/2024,95,137,10633.11,127,8905.37,86,768.45,9,5346.44,78
6/11/2024,127,145,7649.43,120,6883.11,103,172.13,5,6403.87,97
6/10/2024,105,185,10866.35,136,8066.3,112,352.85,8,6517.41,102
6/9/2024,0,0,1420.92,14,867.28,11,67.5,1,829.86,10
6/8/2024,97,110,11877.97,96,4219.61,60,495.15,11,4087.17,58
6/7/2024,94,154,13189.45,134,8495.99,104,161.96,5,6244.29,90
6/6/2024,123,137,8386.25,139,7686.45,86,-3762.47,10,4512.54,77
6/5/2024,104,144,9182.88,121,7704.01,97,273.86,7,6025.15,85
6/4/2024,146,140,13722.76,150,7536.87,113,128.25,6,6737.94,107
6/3/2024,112,147,11481.95,140,5634.35,87,460.02,3,5059.31,80
6/2/2024,0,82,983.91,14,334.25,11,N/A,0,334.25,11
6/1/2024,119,113,9652.06,120,4858.44,84,257.98,6,3330.94,64
5/31/2024,122,136,9497.47,128,33413.05,241,547.91,9,-285.66,110
5/30/2024,102,145,10053.82,124,25493.25,217,230.63,3,5754.97,91
5/29/2024,122,135,7556.36,113,11226.61,105,282.31,5,4435.89,76
5/28/2024,74,164,11538.44,127,8039.75,99,343.05,12,6536.2,89
5/27/2024,96,146,8165.27,68,3629.18,49,32.5,2,2386.3,43
5/26/2024,0,76,954.3,21,4115.89,34,N/A,0,482.96,12
5/25/2024,127,131,6473.58,77,4495.05,65,238.65,4,4404.93,62
5/24/2024,84,130,12084.11,135,6466.31,100,280.14,4,5643.65,95
5/23/2024,109,135,8615.95,114,5766.65,98,178.58,2,5476.1,95
5/22/2024,105,136,11232.38,122,22992.3,200,113.96,5,4761.77,78
5/21/2024,719,132,7509.25,116,3097.44,77,307.01,7,2714.97,74
5/20/2024,0,164,9538.29,134,10213.08,125,244.92,5,6882.18,103
5/19/2024,0,0,1829.66,19,463.49,12,N/A,0,463.49,12
5/18/2024,0,123,6136.62,86,3264.33,66,180.38,6,3213.61,64
5/17/2024,0,124,10993.53,128,6083.75,106,787,4,4979.43,84
5/16/2024,0,128,9918.22,113,4736.38,92,373.01,7,3769.56,81
5/15/2024,0,134,7342.91,116,5154.3,91,738.3,8,4102.71,82
5/14/2024,0,151,11739.37,126,5837.35,92,254.62,7,5107.37,87
5/13/2024,70,148,6606.98,127,6938.5,99,317.62,5,5731.93,90
5/12/2024,0,81,647.77,13,16890.12,84,N/A,0,341.8,10
5/11/2024,98,110,7221.15,66,5142.09,60,143.52,4,4977.2,55
5/10/2024,98,138,17769.75,143,8960.31,105,671.76,5,7617.65,94
5/9/2024,82,131,11137.57,134,6057.93,86,404.72,8,4960.79,77
5/8/2024,113,138,10997.26,123,7902.29,104,260.94,7,5437.93,97
5/7/2024,66,131,10370.81,140,8695.17,128,442.52,5,5670.08,85
5/6/2024,186,174,3372.02,54,2483.76,37,67.32,4,1991.27,35
5/5/2024,0,81,1310.05,16,518.11,9,N/A,0,427.03,8
5/4/2024,0,120,9014.84,81,5707.62,76,26.82,2,4642.77,73
5/3/2024,92,130,13648.97,142,9090.13,101,841.79,13,6850.49,90
5/2/2024,80,125,13667,154,10231.34,124,1101.63,11,7331.85,103
5/1/2024,119,131,15965.6,158,6858.44,85,571.37,8,4875.58,69
4/30/2024,130,128,17037.66,135,67765.07,415,386.68,4,12853.5,160
4/29/2024,100,181,11141.82,128,10813,101,175.66,4,5029.14,83
4/28/2024,0,77,2184.21,17,1427.72,17,N/A,0,1304.41,16
4/27/2024,110,120,11734.96,93,5519.54,88,360,3,4636.18,80
4/26/2024,82,137,13088.51,158,8160.04,135,993.71,5,5127.31,121
4/25/2024,114,139,9726.06,116,4578.59,80,170.72,3,3760.39,73
4/24/2024,110,130,7916.72,121,4376.98,85,566.68,11,3782.33,81
4/23/2024,138,127,13385.45,111,8471.87,89,129.9,5,7743.75,84
4/22/2024,92,174,8398.41,119,9784.52,84,468.38,5,3221.56,78
4/21/2024,0,0,228.72,4,8893.21,97,N/A,0,289.41,4
4/20/2024,152,128,9163.96,83,7845.63,108,255.13,7,3122.41,58
4/19/2024,125,143,12597.09,118,7127.51,109,422.31,2,4583.56,87
4/18/2024,141,145,10063.17,107,4994.46,87,2250.6,10,4737.05,85
4/17/2024,130,139,10892.51,138,11275.83,129,169.01,3,5794.86,81
4/16/2024,178,137,13310.44,139,8489.95,101,58.5,4,7681.38,98
4/15/2024,123,183,12205.33,137,6306.38,99,890.91,6,5379.58,91
4/14/2024,0,67,1291.53,10,224.74,6,101.5,1,135.43,5
4/13/2024,121,105,12791.06,93,5423.6,61,1656.29,7,5117.32,51
4/12/2024,118,164,11243.99,122,11807.8,101,39.51,5,6577.09,93
4/11/2024,123,132,9388.87,106,3479.19,71,176.31,3,3269.87,69
4/10/2024,161,133,7380.81,91,3714.07,71,56.27,3,3679.27,68
4/9/2024,161,132,12091.89,148,7106.19,114,874.96,11,6217.14,102
4/8/2024,106,186,14641.61,145,7093.15,102,990.98,10,6360.15,95
4/7/2024,0,75,1145.19,11,453.07,7,N/A,0,453.07,7
4/6/2024,106,137,8940.52,87,3692.04,60,153.97,3,3532.8,55
4/5/2024,94,144,11986.86,137,4366.84,98,354.2,9,3823.56,90
4/4/2024,102,165,12572.04,125,7910.75,112,74.46,3,6118.24,93
4/3/2024,122,133,15057.95,145,9483.15,122,705.71,7,7604.37,107
4/2/2024,67,134,13907.93,141,7508.36,93,752.76,10,5099.76,74
4/1/2024,59,178,4833.41,50,2811.19,40,202,1,1912.24,28
3/31/2024,0,75,615.75,19,7121.48,40,31.51,1,2339.32,19
3/30/2024,70,123,5838.2,64,19898.96,161,100,1,2007.16,75
3/29/2024,127,133,3554,67,21358.3,182,74,1,3410.05,63
3/28/2024,127,133,11165.14,145,7696.18,147,-0.7,3,5906.9,125
3/27/2024,107,140,9423.74,122,8116.29,109,0,2,7273.2,98
3/26/2024,124,145,10898.36,106,5535.43,85,1319.69,9,4801.98,77
3/25/2024,84,188,11778.7,123,6626.28,96,1211.18,8,5618.11,88
3/24/2024,0,80,610.65,15,436.82,13,-3.5,1,436.82,13
3/23/2024,90,123,8420.01,87,4933.63,56,457.41,4,4933.63,56
3/22/2024,97,134,9584.09,120,3934.52,92,269.71,5,3645.28,88
3/21/2024,121,158,12455.51,114,15762.89,146,827.84,8,3950.22,66
3/20/2024,105,134,10626.03,116,6796.37,86,134.26,9,5652.12,82
3/19/2024,147,148,10745.54,105,12960.32,134,515.62,7,4966.78,75
3/18/2024,101,169,10326.11,123,4574.57,85,669.22,7,4207.63,80
3/17/2024,0,78,1151.33,14,182.98,9,341.42,2,182.98,9
3/16/2024,111,135,5277.3,66,3691.22,53,39.11,3,3409.98,52
3/15/2024,111,145,11748.62,120,26404.78,277,189.75,5,5431.35,90
3/14/2024,105,159,7121.65,112,4201.7,87,78,4,3646.05,80
3/13/2024,100,171,11697.66,117,10684.89,100,428.08,5,7358.29,93
3/12/2024,114,148,11743.7,153,7430.81,118,129.5,4,7000.43,108
3/11/2024,107,181,15321.23,151,9942.28,112,636.14,8,7693.53,107
3/10/2024,0,81,1515.79,16,927.71,11,N/A,0,927.71,11
3/9/2024,112,137,9562.33,76,3654.67,62,199.91,2,3500.22,58
3/8/2024,109,140,14443.27,142,8681.3,117,782.33,10,5888.24,95
3/7/2024,291,141,9565.2,102,4282.02,73,110.91,4,3849.28,68
3/6/2024,138,161,13414.81,150,9299.02,103,269.11,9,6814.94,94
3/5/2024,145,147,12950.85,145,9170.66,120,633.16,8,7961.45,111
3/4/2024,117,250,9844.14,151,8532,109,106.73,6,5330.28,94
3/3/2024,0,81,1221.33,13,270.93,6,87.5,1,270.93,6
3/2/2024,120,135,8085.11,96,5565.55,81,107.54,6,4701.61,68
3/1/2024,160,204,19551.38,173,10172.25,119,617.9,5,6726.62,91
2/29/2024,110,153,8903.57,130,57400.56,355,91.84,3,13980.21,159
2/28/2024,126,155,13822.37,152,12905.79,129,0,2,7553.82,111
2/27/2024,144,149,13314.41,148,8557.37,113,862.24,5,5979,98
2/26/2024,109,186,18510.66,159,7802.05,97,696.83,11,6670.56,86
2/25/2024,0,78,700.49,13,1273.57,17,N/A,0,203.68,9
2/24/2024,121,141,8272.4,86,2214.71,53,221.76,6,2168.26,51
2/23/2024,96,147,9556.05,123,6233.3,101,65.93,3,5293.32,92
2/22/2024,104,138,9930.84,122,5476.63,100,876.16,5,5149.43,93
2/21/2024,118,141,11097.6,115,7679.67,86,331.73,8,5029.75,81
2/20/2024,137,143,13396.78,136,12192.22,187,696.48,3,5605.6,98
2/19/2024,109,220,8586.93,118,6709.79,95,508.55,3,4749.27,80
2/18/2024,0,73,1575.82,15,491.27,7,N/A,0,491.27,7
2/17/2024,105,132,7205.2,83,9064.34,84,121.91,4,3779.24,47
2/16/2024,112,158,11935.99,125,6584.8,93,146.51,5,5287.61,84
2/15/2024,125,150,13946.76,132,10272.28,127,88.4,1,6937.14,107
2/14/2024,137,159,12088.84,127,9394.88,85,212.14,5,7049.7,77
2/13/2024,149,161,13891.75,135,13657.29,158,761.6,11,6287.87,99
2/12/2024,141,234,11840.25,143,6456.93,106,352.42,5,6038.54,104
2/11/2024,0,0,705.25,11,450.36,11,N/A,0,450.36,11
2/10/2024,119,131,6788.95,86,2921.78,64,370.24,4,2828.07,57
2/9/2024,122,142,12975.97,162,11008.1,128,1472.95,8,5982.43,124
2/8/2024,122,172,9135.42,111,5388.74,81,133.4,4,4432.51,73
2/7/2024,129,162,12296.4,128,5170.65,93,619.03,6,4754.82,89
2/6/2024,165,159,12449.66,137,7612.27,108,580.5,7,7241.38,101
2/5/2024,109,201,14764.24,150,7247.72,105,438.52,5,4585.65,97
2/4/2024,0,92,3003.77,20,536.08,7,836.55,1,536.08,7
2/3/2024,133,147,8365.92,116,5015.42,87,346.19,6,4180.31,80
2/2/2024,167,169,14806.92,168,6807.66,136,422.11,7,5809.09,116
2/1/2024,174,178,14479.37,154,7773.76,109,383.28,8,6056.93,84
1/31/2024,140,191,12247.83,167,40047.71,265,87.23,2,13679.88,156
1/30/2024,170,166,10032.65,133,14469.8,147,133.71,3,6436.98,107
1/29/2024,135,211,13687.56,172,10135.34,143,39.98,2,7603.94,127
1/28/2024,0,87,2509.68,19,1551.12,15,N/A,0,755.88,13
1/27/2024,146,140,9658.25,115,2772.34,74,116.12,3,2776.49,73
1/26/2024,117,172,13111.07,161,11508.89,160,52.56,4,8752.09,127
1/25/2024,130,179,17733.25,139,15671.69,152,307.47,9,10432.26,107
1/24/2024,131,185,12525.08,159,8903.21,137,312.41,6,7588.56,131
1/23/2024,155,194,11599.59,138,7328.94,105,1097.89,6,5902.53,95
1/22/2024,124,186,9993.63,120,5929.21,83,0,1,4954.27,78
1/21/2024,0,84,1030.46,24,921.33,19,0.06,1,921.33,19
1/20/2024,141,140,9195.93,91,3843.11,80,81.66,4,3736.47,77
1/19/2024,140,160,15045.88,161,14828.28,131,153.23,7,10326.71,129
1/18/2024,140,166,12243.33,156,6410.04,109,666.34,11,5572.31,100
1/17/2024,152,178,8789.4,136,15728.58,230,445.15,5,4099.52,105
1/16/2024,215,160,16553.21,170,9569.32,128,494.63,3,9270.55,123
1/15/2024,142,216,13912.45,175,8068.96,118,430.79,9,7014.21,113
1/14/2024,0,97,1562.78,22,408.39,16,324,1,408.39,16
1/13/2024,137,145,8813.78,96,4188.92,67,104.5,3,4081.9,65
1/12/2024,159,166,17974.88,159,14050.24,114,1038.43,8,11890.63,109
1/11/2024,149,169,14714.61,155,9462.11,137,324.66,8,8751.43,134
1/10/2024,150,186,22105.07,176,9784.17,137,393.88,10,7352.15,124
1/9/2024,160,149,12464.12,157,6974.92,121,774.34,8,6235.77,113
1/8/2024,125,231,12346.33,155,8087.54,101,363.85,5,7553.99,95
1/7/2024,0,93,2119.26,13,513.52,8,13.5,1,513.52,8
1/6/2024,161,139,10354.98,98,4759.15,79,376.16,5,4476.43,74
1/5/2024,150,178,15934.78,181,9439.47,142,89.53,3,9003.18,127
1/4/2024,154,152,11810.04,147,8503.96,116,197.23,8,7297.51,112
1/3/2024,189,170,17110.9,156,8230.54,123,315.84,2,7132.39,108
1/2/2024,53,172,12956.29,149,7688.77,94,969.87,8,5263.85,86
1/1/2024,0,197,3473.75,45,2077.32,36,125.53,4,1532.18,24
12/31/2023,0,88,1578.91,19,7451.42,82,168.6,1,1528.59,30
12/30/2023,130,144,4406.71,63,10400.54,61,729.37,5,4576.12,44
12/29/2023,114,150,8421.02,105,18350.74,137,93.51,6,6495.71,91
12/28/2023,105,152,7355.02,91,6757.48,69,554.27,4,5853.34,66
12/27/2023,52,154,11909.96,115,17304.57,162,602.02,5,6690.9,78
12/26/2023,21,139,920.64,20,2452.66,44,7,1,556.66,12
12/25/2023,116,147,1476.77,13,876.92,14,63,1,612.1,11
12/24/2023,0,87,1320.95,15,4496.49,46,N/A,0,1339.01,17
12/23/2023,122,127,2958.7,45,1548.47,35,254.14,2,1509.41,33
12/22/2023,129,159,7536.45,72,17468.11,151,470.79,5,4918,66
12/21/2023,117,130,8709.56,87,15804.63,85,110.5,2,6533.86,65
12/20/2023,136,141,9698.77,111,8743.85,92,609.1,5,6108.95,81
12/19/2023,132,143,10268.17,115,9113.82,102,727.83,7,6721.9,86
12/18/2023,123,199,7588.87,92,6449.74,77,2.62,1,4533,65
12/17/2023,0,0,673.98,7,250.28,3,N/A,0,250.28,3
12/16/2023,102,112,6513.43,65,4489.24,49,334.81,2,4193.54,46
12/15/2023,160,123,10253.21,97,8413.43,84,140.99,5,6915.95,74
12/14/2023,155,134,6445.61,98,41575.44,331,446.16,8,5436.29,87
12/13/2023,151,142,11500.5,107,7255.38,83,392.84,8,5915.92,75
12/12/2023,161,144,10827.4,112,11528.77,114,59.83,2,8359.42,94
12/11/2023,114,244,7665.57,110,9518.21,95,21.51,4,5131.43,74
12/10/2023,0,0,1197.88,5,893.26,7,N/A,0,893.26,7
12/9/2023,136,122,8281.39,74,8114.6,69,303.45,6,7907.17,66
12/8/2023,123,145,8124.38,105,7526.05,93,394.46,9,5675.59,88
12/7/2023,135,142,10754.11,112,7349.74,96,158.66,7,6466.6,85
12/6/2023,107,139,9036.9,108,9357.7,95,347.67,4,6004.69,87
12/5/2023,136,142,8419.98,121,7722.55,104,524.85,9,6037.64,91
12/4/2023,89,203,9802.61,129,5782.03,93,301.34,5,5601.72,88
12/3/2023,0,0,580.02,12,794.92,9,N/A,0,411.06,8
12/2/2023,96,122,8436.07,75,8139.93,72,14.13,2,6594.97,63
12/1/2023,137,148,8988.63,112,6799.8,96,634,7,4457.56,66
11/30/2023,132,137,6521.76,114,37700.33,248,145.96,5,8474.77,123
11/29/2023,152,150,5375.67,95,3132.72,93,30.8,6,288.33,82
11/28/2023,131,146,7949.7,123,24469.38,193,2.43,3,5940.43,92
11/27/2023,117,199,10327.75,127,8624.53,99,785.44,4,6219.36,87
11/26/2023,0,0,1668.14,14,591.81,9,N/A,0,371.61,6
11/25/2023,130,120,5911.49,66,4335.34,58,697.36,4,4324.65,57
11/24/2023,139,137,10759.97,118,22170.1,206,181.5,3,6273.03,94
11/23/2023,112,150,8418.35,112,8606.17,96,132.2,4,6105.41,81
11/22/2023,110,144,10308.66,118,7615.18,98,578.84,8,5663.61,91
11/21/2023,145,154,10173.23,131,6196.67,103,104.16,4,4901.91,94
11/20/2023,95,216,6983.72,113,5937.08,102,112.72,2,5508.31,97
11/19/2023,0,0,625.1,11,411.92,6,243.02,2,145.93,4
11/18/2023,96,147,5901.65,86,3222.96,66,109.29,3,3076.63,63
11/17/2023,93,152,6388.04,109,5788.26,102,0,1,4904.88,95
11/16/2023,104,133,7657.1,100,5914.03,78,309.54,3,5370.69,75
11/15/2023,155,147,8058.48,107,29748.83,260,416.82,8,4274.96,77
11/14/2023,142,153,9542,113,7489.22,93,485.57,8,5959.54,83
11/13/2023,95,210,9813.74,117,8298.28,102,361,4,5518.88,85
11/12/2023,0,0,559.06,15,793.14,12,N/A,0,793.14,12
11/11/2023,117,124,6694,89,3967.43,67,177.99,7,3181.09,63
11/10/2023,115,144,4359.68,128,6046.51,104,628.66,9,5051.2,94
11/9/2023,139,131,14719.15,104,4697.44,86,413.73,4,4284.36,80
11/8/2023,123,143,9718.14,128,4827.91,86,513.43,5,4289.41,82
11/7/2023,160,140,14689.88,143,10185.88,121,4,4,9393.69,113
11/6/2023,133,213,10037.59,122,6364.29,104,276.09,2,5498.02,95
11/5/2023,0,0,847.66,18,832.55,15,N/A,0,713.06,14
11/4/2023,159,118,8272.84,100,5418.45,75,194.8,5,4204.45,70
11/3/2023,143,126,12339.58,139,9774.32,120,133.93,8,8642.06,103
11/2/2023,126,135,14351.84,139,7080.82,96,491.85,5,5701.84,83
11/1/2023,146,132,14080.48,151,9373.07,108,127.41,7,6454.88,79
10/31/2023,134,136,11769.47,154,36182.57,280,31.13,3,9405.13,145
10/30/2023,112,191,10731.58,139,15943.38,138,331.95,9,7679.52,110
10/29/2023,0,0,1002.77,16,9491.81,63,N/A,0,815.04,8
10/28/2023,120,123,9431.91,82,1994,56,747.05,7,1980.54,54
10/27/2023,117,136,5986.05,113,16224.41,124,227.6,5,4122.82,92
10/26/2023,145,119,8658.19,115,5737.85,81,420.08,7,4503.05,71
10/25/2023,137,127,7686.57,122,7778.27,105,67.5,5,7492.8,103
